# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416447266;-48683.63;1.84;36005.20
axle;60;1416447326;-8440.74;0.40;190.00
axle;60;1416447386;-4346.59;-34.08;-4095.13
axle;60;1416447446;3138.97;-31.94;-5293.29
axle;60;1416447506;19444.64;0.40;853.45
axle;60;1416447566;-6781.69;0.40;-506.83
axle;60;1416447626;7967.82;0.42;135.30
axle;60;1416447686;-19636.53;0.40;2048.89
axle;60;1416447746;5859.10;0.43;-1699.32
axle;60;1416447806;4423.87;0.38;248.53
axle;60;1416447866;4183.88;0.40;15.26
axle;60;1416447926;9376.75;0.60;218.95
