# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416447266;4177716;260346708;98.42;101744;54267304;210295944;77.06
axle;60;1416447326;2162404;262362020;99.18;101840;54312668;212254960;77.77
axle;60;1416447386;1123744;263400680;99.58;93696;53334096;214330552;78.54
axle;60;1416447446;1876468;262647956;99.29;86036;52064764;214780804;78.70
axle;60;1416447506;6536960;257987464;97.53;86132;52269320;209981856;76.94
axle;60;1416447566;4911796;259612628;98.14;86228;52147864;211811488;77.61
axle;60;1416447626;6822160;257702264;97.42;86328;52180304;209757968;76.86
axle;60;1416447686;2114892;262409532;99.20;86424;52671464;213938044;78.39
axle;60;1416447746;3519200;261005224;98.67;86528;52264172;213172272;78.11
axle;60;1416447806;4579160;259945264;98.27;86620;52323720;211912184;77.65
axle;60;1416447866;5578104;258946320;97.89;86716;52327364;210811700;77.25
axle;60;1416447926;7826648;256697776;97.04;86860;52379868;208692032;76.47
