Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

02:33:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:34:26 AM     all     80.66      0.00     15.45      0.02      0.00      3.87
02:35:26 AM     all     78.01      0.00     16.72      0.00      0.00      5.27
02:36:26 AM     all     82.84      0.00     15.02      0.00      0.00      2.14
02:37:26 AM     all     82.73      0.00     15.68      0.00      0.00      1.59
02:38:26 AM     all     78.30      0.00     18.99      0.00      0.00      2.71
02:39:26 AM     all     75.86      0.00     19.85      0.00      0.00      4.28
02:40:26 AM     all     76.80      0.00     18.87      0.00      0.00      4.33
02:41:26 AM     all     80.19      0.00     17.45      0.00      0.00      2.35
02:42:26 AM     all     78.44      0.00     19.06      0.00      0.00      2.50
02:43:26 AM     all     84.51      0.00     12.25      0.00      0.00      3.24
02:44:26 AM     all     79.75      0.00     16.63      0.00      0.00      3.61
02:45:26 AM     all     58.20      0.00     15.43      0.00      0.00     26.36
