Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

02:10:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:11:50 AM     all     21.65      0.00      8.19      0.36      0.00     69.80
02:12:50 AM     all     10.40      0.00      6.27      0.00      0.00     83.33
02:13:50 AM     all      7.39      0.00      6.01      0.01      0.00     86.59
02:14:50 AM     all      7.54      0.00      5.72      0.01      0.00     86.73
02:15:50 AM     all      7.48      0.00      4.99      0.01      0.00     87.53
02:16:50 AM     all      5.03      0.00      1.89      0.00      0.00     93.07
02:17:50 AM     all      5.35      0.00      0.95      0.00      0.00     93.70
02:18:50 AM     all     15.62      0.00      1.83      0.00      0.00     82.55
