# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416445910;sda;241.01;5.19;57894.24;240.24;10.20;42.34;0.30;7.29
axle;60;1416445970;sda;2.58;0.00;409.31;158.76;0.01;3.15;0.26;0.07
axle;60;1416446030;sda;2.96;0.40;518.99;175.37;0.01;3.73;0.47;0.14
axle;60;1416446090;sda;3.69;1.20;635.78;172.56;0.02;6.10;0.29;0.11
axle;60;1416446150;sda;4.98;17.59;811.59;166.50;0.03;5.06;0.24;0.12
axle;60;1416446210;sda;1.27;0.00;151.50;119.26;0.00;0.74;0.16;0.02
axle;60;1416446270;sda;0.63;0.00;55.55;87.58;0.00;0.11;0.11;0.01
axle;60;1416446330;sda;0.93;0.00;116.63;124.86;0.00;0.57;0.14;0.01
