# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416445910;23200556;241323868;91.23;98832;38113872;207639268;76.08
axle;60;1416445970;21183824;243340600;91.99;98896;40136028;207624712;76.08
axle;60;1416446030;21166152;243358272;92.00;98956;40150512;207754400;76.13
axle;60;1416446090;21140144;243384280;92.01;99056;40173212;207753780;76.13
axle;60;1416446150;21248240;243276184;91.97;99188;40196484;207492136;76.03
axle;60;1416446210;17966116;246558308;93.21;99252;40198080;210942076;77.29
axle;60;1416446270;19567004;244957420;92.60;99284;40200324;209258128;76.68
axle;60;1416446330;21246136;243278288;91.97;99332;40208108;207500136;76.03
