# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416446430;8157572;256366852;96.92;99704;52713800;208087712;76.25
axle;60;1416446490;15504948;249019476;94.14;99792;45459360;208137376;76.27
axle;60;1416446550;13938768;250585656;94.73;99896;47390612;207722824;76.11
axle;60;1416446610;11226484;253297940;95.76;99996;48487976;209338628;76.71
axle;60;1416446670;13147368;251377056;95.03;100088;48307604;207480212;76.03
axle;60;1416446730;13261896;251262528;94.99;100168;48056084;207629064;76.08
axle;60;1416446790;8861152;255663272;96.65;100252;52599364;207478816;76.02
axle;60;1416446850;7722448;256801976;97.08;100336;53715728;207513428;76.04
axle;60;1416446910;7744324;256780100;97.07;100396;53717364;207478800;76.02
axle;60;1416446970;5325832;259198592;97.99;100444;55746948;207877604;76.17
axle;60;1416447030;5086116;259438308;98.08;100604;55832908;208025860;76.23
axle;60;1416447090;5630384;258894040;97.87;100660;55833868;207477572;76.02
