Linux 3.0.101-0.15-default (axle) 	11/20/2014 	_x86_64_

02:19:30 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:20:30 AM     all      5.33      0.00      7.34      0.06      0.00     87.27
02:21:30 AM     all      6.27      0.00      7.08      0.00      0.00     86.64
02:22:30 AM     all      6.38      0.00      6.47      0.00      0.00     87.15
02:23:30 AM     all      7.28      0.00      5.68      0.00      0.00     87.04
02:24:30 AM     all      5.81      0.00      3.30      0.00      0.00     90.89
02:25:30 AM     all      5.58      0.00      0.76      0.00      0.00     93.66
02:26:30 AM     all      4.20      0.00      2.16      0.00      0.00     93.64
02:27:30 AM     all      4.34      0.00      1.99      0.00      0.00     93.66
02:28:30 AM     all      5.94      0.00      0.37      0.00      0.00     93.68
02:29:30 AM     all      5.47      0.00      0.83      0.00      0.00     93.70
02:30:30 AM     all      4.84      0.00      1.56      0.00      0.00     93.60
02:31:30 AM     all      5.46      0.00      0.86      0.00      0.00     93.69
